date,yr,source,variety,varietyII,Location,County,Comments,loc_full,lon,lat
7/14/2005,2005,Crop,NA,NA,"Tullyframe, Kilkeel",Down,NA,"Tullyframe, Kilkeel, Down, UK",-6.0835576,54.0884896
7/14/2005,2005,Crop,NA,NA,"Brackney, Kilkeel",Down,NA,"Brackney, Kilkeel, Down, UK",-6.007004,54.0631154
7/14/2005,2005,Crop,NA,NA,"Drumarkin, Rathriland",Down,NA,"Drumarkin, Rathriland, Down, UK",-6.137605,54.253722
7/14/2005,2005,Crop,NA,NA,Edenbane Rd Garvagh,Londonderry,NA,"Edenbane Rd Garvagh, Londonderry, UK",-6.6785469,54.97972
7/15/2005,2005,Crop,NA,NA,"Ballymartin, Kilkeel",Down,NA,"Ballymartin, Kilkeel, Down, UK",-6.007004,54.0631154
7/15/2005,2005,Groundkeeper,NA,NA,"Benagh, Kilkeel",Down,NA,"Benagh, Kilkeel, Down, UK",-6.0778129,54.0510309
7/15/2005,2005,Crop,NA,NA,Glarryford Cullybackey,Antrim,NA,"Glarryford Cullybackey, Antrim, UK",-6.2072498,54.7195338
7/19/2005,2005,Crop,NA,NA,Killkeel,Down,NA,"Killkeel, Down, UK",-6.007004,54.0631154
7/19/2005,2005,Crop,NA,NA,"Crewe, Maghera",Londonderry,NA,"Crewe, Maghera, Londonderry, UK",-6.6733816,54.844535
7/19/2005,2005,Crop,NA,NA,Ballyrock Bushmills,Antrim,NA,"Ballyrock Bushmills, Antrim, UK",-6.5469988,55.1615002
7/19/2005,2005,Crop,NA,NA,Clagan Limavady,Londonderry,NA,"Clagan Limavady, Londonderry, UK",-6.9336758,55.0454563
7/21/2005,2005,Crop,NA,NA,Ballylame Rd Garvagh,Londonderry,NA,"Ballylame Rd Garvagh, Londonderry, UK",-6.6883185,54.9371558
7/22/2005,2005,Crop,NA,NA,"Drumaspil, Dungannon",Tyrone,NA,"Drumaspil, Dungannon, Tyrone, UK",-6.6771295,54.5019522
7/23/2005,2005,Garden,NA,NA,Killough,Down,NA,"Killough, Down, UK",-5.64008,54.25085
7/26/2005,2005,Crop,NA,NA,"NIHPBS, Loughgall",Armagh,NA,"NIHPBS, Loughgall, Armagh, UK",-6.6029059,54.4093603
7/26/2005,2005,Crop,NA,NA,"Kilcief, Strangford",Down,NA,"Kilcief, Strangford, Down, UK",-5.54467,54.33573
7/26/2005,2005,Crop,NA,NA,"Tobercorran, Downpatrick",Down,NA,"Tobercorran, Downpatrick, Down, UK",-5.7925546,54.2901716
7/26/2005,2005,Crop,NA,NA,Ardglass,Down,NA,"Ardglass, Down, UK",-5.6108327,54.2633033
7/26/2005,2005,Crop,NA,NA,"Leitrim, Kilkeel",Down,NA,"Leitrim, Kilkeel, Down, UK",-6.0187574,54.0892817
